时间 – Thời gian, 时间是最宝贵的财富。
核查 – Xác minh, 请核查一下文件的真实性。
改正 – Sửa đúng, 错误已经改正。
预防 – Phòng ngừa, 我们要预防同样的问题发生。
对策 – Đối sách, 公司制定了新的对策。
效果 – Hiệu quả, 新方法的效果很好。
风险 – Rủi ro, 我们必须控制风险。
规范 – Quy phạm, 操作要符合规范。
审核 – Thẩm tra, đánh giá, 内部审核每季度进行一次。
认证 – Chứng nhận, 我们通过了ISO质量认证。
程序 – Trình tự, 工作程序要清楚。
检具 – Dụng cụ kiểm tra, 检具需要定期校准。
工装 – Đồ gá, 工装设计合理能提高效率。
公差 – Dung sai, 尺寸的公差要控制在标准范围内。
程序 – Chương trình, 我正在写一个新的程序。
代码 – Mã nguồn, 这段代码有一个错误。
系统 – Hệ thống, 我们需要升级这个系统。
网络 – Mạng, 网络连接不稳定。
数据库 – Cơ sở dữ liệu, 我们把数据存进数据库。
服务器 – Máy chủ, 服务器正在维护中。
模块 – Mô-đun, 我们把功能分成多个模块。
接口 – Giao diện, 这个接口需要重新设计。
功能 – Chức năng, 这个软件有很多实用的功能。
版本 – Phiên bản, 这个是最新版本的软件。
更新 – Cập nhật, 系统自动更新了。
用户 – Người dùng, 用户可以自己修改密码。
密码 – Mật khẩu, 请输入登录密码。
登录 – Đăng nhập, 登录系统后才能使用。
注册 – Đăng ký, 你需要先注册一个账户。
文件 – Tệp tin, 我下载了一个文件。
数据 – Dữ liệu, 我们每天处理大量数据。
备份 – Sao lưu, 请记得备份重要文件。
恢复 – Khôi phục, 系统可以自动恢复数据。
安全 – An toàn, 网络安全非常重要。
漏洞 – Lỗ hổng, 我们发现了一个安全漏洞。
测试 – Kiểm thử, 新功能正在测试中。
调试 – Gỡ lỗi, 我在调试程序。
算法 – Thuật toán, 这个算法很高效。
性能 – Hiệu năng, 我们要提高系统性能。
开发 – Phát triển, 我在负责应用开发。
部署 – Triển khai, 我们明天开始部署新系统。
更新 – Nâng cấp, 软件已经更新到最新版本。
界面 – Giao diện, 新的界面更美观。
云端 – Đám mây, 数据存储在云端。
人工智能 – Trí tuệ nhân tạo, 人工智能改变了世界。
